marine_park,month,sst_celsius,turbidity_index
Pulau Payar,2023-01,28.55,700.6837
Pulau Payar,2023-02,28.89,392.2054
Pulau Payar,2023-03,29.0,730.8044
Pulau Payar,2023-04,30.46,834.6529
Pulau Payar,2023-05,31.05,696.8858
Pulau Payar,2023-06,30.73,260.3938
Pulau Payar,2023-07,30.72,348.1858
Pulau Payar,2023-08,30.66,416.5419
Pulau Payar,2023-09,29.9,490.7138
Pulau Payar,2023-10,30.31,564.8857
Pulau Payar,2023-11,30.17,395.3802
Pulau Payar,2023-12,28.81,225.8747
Pulau Payar,2024-01,28.24,243.7805
Pulau Payar,2024-02,28.99,377.2382
Pulau Payar,2024-03,29.67,623.7374
Pulau Payar,2024-04,31.1,870.2366
Pulau Payar,2024-05,31.51,572.8051
Pulau Payar,2024-06,31.25,275.3736
Pulau Payar,2024-07,30.65,2197.026
Pulau Payar,2024-08,30.55,1717.7252666666666
Pulau Payar,2024-09,30.11,1238.4245333333333
Pulau Payar,2024-10,30.09,759.1238
Pulau Payar,2024-11,30.16,271.085
Pulau Payar,2024-12,29.29,195.839
Pulau Payar,2025-01,28.76,295.8543
Pulau Payar,2025-02,28.94,400.3732
Pulau Payar,2025-03,29.59,658.4634
Pulau Payar,2025-04,30.31,885.0383
Pulau Payar,2025-05,30.72,939.2182
Pulau Payar,2025-06,30.54,993.3981
Pulau Payar,2025-07,30.93,299.4904
Pulau Payar,2025-08,30.63,577.2875
Pulau Payar,2025-09,30.19,842.5542
Pulau Payar,2025-10,29.82,1107.8209
Pulau Payar,2025-11,29.53,688.45795
Pulau Payar,2025-12,28.86,269.095
Pulau Payar,2026-01,28.55,246.7905
Pulau Payar,2026-02,28.9,345.8723
Pulau Payar,2026-03,29.84,689.2786
Pulau Payar,2026-04,30.96,866.8902
Pulau Payar,2026-05,31.23,367.2185
Pulau Payar,2026-06,30.82,284.2249
Pulau Payar,2026-07,30.79,419.051
Pulau Payar,2026-08,30.83,702.243
Pulau Payar,2026-09,30.96,702.243
Pulau Perhentian,2023-01,27.88,880.6635
Pulau Perhentian,2023-02,27.95,880.6635
Pulau Perhentian,2023-03,28.2,880.6635
Pulau Perhentian,2023-04,30.03,880.6635
Pulau Perhentian,2023-05,30.79,581.5219
Pulau Perhentian,2023-06,30.34,265.9618
Pulau Perhentian,2023-07,30.31,1039.1564
Pulau Perhentian,2023-08,30.3,1812.351
Pulau Perhentian,2023-09,30.18,1195.4004
Pulau Perhentian,2023-10,30.37,578.4498
Pulau Perhentian,2023-11,29.9,630.7741
Pulau Perhentian,2023-12,28.51,683.0984
Pulau Perhentian,2024-01,28.25,735.4227
Pulau Perhentian,2024-02,28.82,787.747
Pulau Perhentian,2024-03,29.52,2284.9062
Pulau Perhentian,2024-04,30.62,1345.3117
Pulau Perhentian,2024-05,31.22,556.659
Pulau Perhentian,2024-06,31.2,515.4996
Pulau Perhentian,2024-07,30.5,474.3402
Pulau Perhentian,2024-08,30.63,697.3175
Pulau Perhentian,2024-09,30.23,858.8647
Pulau Perhentian,2024-10,30.03,1020.4119
Pulau Perhentian,2024-11,29.98,1010.1156
Pulau Perhentian,2024-12,28.53,999.8193
Pulau Perhentian,2025-01,28.18,989.5229999999999
Pulau Perhentian,2025-02,27.92,979.2266999999999
Pulau Perhentian,2025-03,28.65,968.9304
Pulau Perhentian,2025-04,29.74,958.6341
Pulau Perhentian,2025-05,30.65,471.3714
Pulau Perhentian,2025-06,30.34,3413.0779
Pulau Perhentian,2025-07,30.29,515.4778
Pulau Perhentian,2025-08,30.32,371.5637
Pulau Perhentian,2025-09,30.18,398.838975
Pulau Perhentian,2025-10,29.75,426.11424999999997
Pulau Perhentian,2025-11,28.76,453.389525
Pulau Perhentian,2025-12,28.04,480.6648
Pulau Perhentian,2026-01,27.81,1047.4614
Pulau Perhentian,2026-02,28.04,985.2158499999999
Pulau Perhentian,2026-03,29.19,922.9703
Pulau Perhentian,2026-04,29.98,1267.0254
Pulau Perhentian,2026-05,30.86,1112.927
Pulau Perhentian,2026-06,30.72,457.3338
Pulau Perhentian,2026-07,30.61,514.7988
Pulau Perhentian,2026-08,30.61,1150.7734
Pulau Perhentian,2026-09,30.58,1150.7734
Pulau Redang,2023-01,27.81,2749.5751
Pulau Redang,2023-02,27.58,2749.5751
Pulau Redang,2023-03,27.83,2749.5751
Pulau Redang,2023-04,30.03,4397.4225
Pulau Redang,2023-05,30.78,977.1613
Pulau Redang,2023-06,30.09,377.2795
Pulau Redang,2023-07,30.11,1576.6289
Pulau Redang,2023-08,30.02,899.671
Pulau Redang,2023-09,29.95,1425.13815
Pulau Redang,2023-10,30.32,1950.6053
Pulau Redang,2023-11,29.86,1694.5554499999998
Pulau Redang,2023-12,28.36,1438.5056
Pulau Redang,2024-01,28.0,1182.45575
Pulau Redang,2024-02,28.55,926.4059
Pulau Redang,2024-03,29.26,1952.2932
Pulau Redang,2024-04,30.48,1963.4506
Pulau Redang,2024-05,31.13,466.0564
Pulau Redang,2024-06,31.07,392.2777
Pulau Redang,2024-07,30.27,318.499
Pulau Redang,2024-08,30.34,2225.1453
Pulau Redang,2024-09,29.98,466.7065
Pulau Redang,2024-10,29.94,2085.5501
Pulau Redang,2024-11,29.83,2373.59722
Pulau Redang,2024-12,28.54,2661.64434
Pulau Redang,2025-01,28.0,2949.69146
Pulau Redang,2025-02,27.69,3237.73858
Pulau Redang,2025-03,28.33,3525.7857
Pulau Redang,2025-04,29.55,1207.0262
Pulau Redang,2025-05,30.54,437.8911
Pulau Redang,2025-06,30.05,310.4187
Pulau Redang,2025-07,30.05,479.1602
Pulau Redang,2025-08,30.15,819.5518
Pulau Redang,2025-09,30.02,4591.7168
Pulau Redang,2025-10,29.69,3405.4519666666665
Pulau Redang,2025-11,28.85,2219.1871333333333
Pulau Redang,2025-12,28.08,1032.9223
Pulau Redang,2026-01,27.61,579.4429
Pulau Redang,2026-02,27.63,5377.2334
Pulau Redang,2026-03,28.89,2092.6022
Pulau Redang,2026-04,29.81,1028.8183
Pulau Redang,2026-05,30.73,836.4788
Pulau Redang,2026-06,30.55,583.8899
Pulau Redang,2026-07,30.36,1679.4685
Pulau Redang,2026-08,30.19,367.9387
Pulau Redang,2026-09,30.08,367.9387
Pulau Sipadan,2023-01,28.75,130.5719
Pulau Sipadan,2023-02,28.92,237.92165
Pulau Sipadan,2023-03,28.97,345.2714
Pulau Sipadan,2023-04,29.81,233.63305000000003
Pulau Sipadan,2023-05,30.07,121.9947
Pulau Sipadan,2023-06,29.6,410.1984
Pulau Sipadan,2023-07,29.25,698.4021
Pulau Sipadan,2023-08,29.45,1122.896
Pulau Sipadan,2023-09,29.4,1055.9203
Pulau Sipadan,2023-10,29.99,630.6088
Pulau Sipadan,2023-11,30.05,465.56835
Pulau Sipadan,2023-12,29.41,300.5279
Pulau Sipadan,2024-01,29.16,312.8222
Pulau Sipadan,2024-02,29.15,519.7528
Pulau Sipadan,2024-03,29.18,448.4373
Pulau Sipadan,2024-04,29.92,330.6118
Pulau Sipadan,2024-05,30.52,621.6421
Pulau Sipadan,2024-06,29.97,496.58255
Pulau Sipadan,2024-07,29.57,371.523
Pulau Sipadan,2024-08,29.72,392.44820000000004
Pulau Sipadan,2024-09,29.62,413.3734
Pulau Sipadan,2024-10,29.73,358.7027
Pulau Sipadan,2024-11,30.03,574.7241
Pulau Sipadan,2024-12,29.63,333.57665
Pulau Sipadan,2025-01,29.16,92.4292
Pulau Sipadan,2025-02,29.13,144.750475
Pulau Sipadan,2025-03,29.11,197.07175
Pulau Sipadan,2025-04,29.77,249.39302499999997
Pulau Sipadan,2025-05,30.13,301.7143
Pulau Sipadan,2025-06,29.66,430.8813
Pulau Sipadan,2025-07,29.56,262.3629
Pulau Sipadan,2025-08,29.46,232.09063333333336
Pulau Sipadan,2025-09,29.53,201.81836666666666
Pulau Sipadan,2025-10,29.75,171.5461
Pulau Sipadan,2025-11,29.53,733.7911
Pulau Sipadan,2025-12,29.3,521.58785
Pulau Sipadan,2026-01,28.84,309.3846
Pulau Sipadan,2026-02,28.62,383.63873333333333
Pulau Sipadan,2026-03,28.8,457.8928666666667
Pulau Sipadan,2026-04,29.78,532.147
Pulau Sipadan,2026-05,30.4,442.12695
Pulau Sipadan,2026-06,29.61,352.1069
Pulau Sipadan,2026-07,29.56,405.5689
Pulau Sipadan,2026-08,29.45,1182.5577
Pulau Sipadan,2026-09,29.25,1055.3095
Pulau Tioman,2023-01,27.61,6835.0778
Pulau Tioman,2023-02,27.37,5751.642
Pulau Tioman,2023-03,27.57,4668.2062
Pulau Tioman,2023-04,29.65,1766.5733
Pulau Tioman,2023-05,29.98,3206.7435
Pulau Tioman,2023-06,29.0,2208.3129
Pulau Tioman,2023-07,29.09,4299.5567
Pulau Tioman,2023-08,28.95,1901.2863
Pulau Tioman,2023-09,28.95,1408.8674
Pulau Tioman,2023-10,30.14,4378.324
Pulau Tioman,2023-11,30.31,3561.6628
Pulau Tioman,2023-12,28.55,6748.0082
Pulau Tioman,2024-01,27.93,9934.3536
Pulau Tioman,2024-02,28.22,3164.9022
Pulau Tioman,2024-03,29.01,2985.4329
Pulau Tioman,2024-04,30.54,4723.7553
Pulau Tioman,2024-05,30.53,4319.6506
Pulau Tioman,2024-06,30.2,3915.5459
Pulau Tioman,2024-07,29.48,1379.3739
Pulau Tioman,2024-08,29.26,1051.5347
Pulau Tioman,2024-09,29.28,2921.8217999999997
Pulau Tioman,2024-10,29.93,4792.1089
Pulau Tioman,2024-11,30.09,4988.49298
Pulau Tioman,2024-12,28.67,5184.87706
Pulau Tioman,2025-01,27.86,5381.2611400000005
Pulau Tioman,2025-02,27.6,5577.64522
Pulau Tioman,2025-03,28.2,5774.0293
Pulau Tioman,2025-04,29.28,4885.9936
Pulau Tioman,2025-05,30.08,2132.6361
Pulau Tioman,2025-06,29.39,1873.2231
Pulau Tioman,2025-07,29.14,635.283
Pulau Tioman,2025-08,28.84,1962.1619
Pulau Tioman,2025-09,29.11,1938.8139
Pulau Tioman,2025-10,29.57,1915.4659
Pulau Tioman,2025-11,29.55,2073.96395
Pulau Tioman,2025-12,28.07,2232.462
Pulau Tioman,2026-01,27.33,4434.54
Pulau Tioman,2026-02,27.44,558.595
Pulau Tioman,2026-03,28.54,2660.9245
Pulau Tioman,2026-04,29.72,6601.8263
Pulau Tioman,2026-05,30.66,1247.8067
Pulau Tioman,2026-06,29.53,2789.488
Pulau Tioman,2026-07,29.43,2790.2402
Pulau Tioman,2026-08,29.22,597.497
Pulau Tioman,2026-09,29.26,4648.9238
