marine_park,month,visitors
Pulau Payar,2022-12,116
Pulau Payar,2023-01,129
Pulau Payar,2023-02,5
Pulau Payar,2023-03,1
Pulau Payar,2023-04,1
Pulau Payar,2023-05,1
Pulau Payar,2023-06,1
Pulau Payar,2023-08,2
Pulau Payar,2023-10,1
Pulau Payar,2024-01,1
Pulau Payar,2024-02,1
Pulau Payar,2024-12,2
Pulau Payar,2025-01,2
Pulau Payar,2025-03,1
Pulau Payar,2025-06,1
Pulau Payar,2025-08,2
Pulau Payar,2025-09,1
Pulau Payar,2026-04,2
Pulau Payar,2026-07,1
Pulau Payar,2026-08,2
Pulau Perhentian,2025-05,1
Pulau Perhentian,2025-06,14
Pulau Perhentian,2025-07,19
Pulau Perhentian,2025-08,21
Pulau Perhentian,2025-09,30
Pulau Perhentian,2025-10,12
Pulau Perhentian,2025-11,3
Pulau Perhentian,2026-01,1
Pulau Perhentian,2026-02,13
Pulau Perhentian,2026-03,17
Pulau Perhentian,2026-04,14
Pulau Perhentian,2026-05,21
Pulau Perhentian,2026-06,29
Pulau Perhentian,2026-07,18
Pulau Perhentian,2026-08,25
Pulau Perhentian,2026-09,5
Pulau Redang,2025-06,10
Pulau Redang,2025-07,11
Pulau Redang,2025-08,32
Pulau Redang,2025-09,15
Pulau Redang,2025-10,3
Pulau Redang,2025-11,4
Pulau Redang,2025-12,1
Pulau Redang,2026-01,8
Pulau Redang,2026-02,12
Pulau Redang,2026-03,7
Pulau Redang,2026-04,22
Pulau Redang,2026-05,29
Pulau Redang,2026-06,23
Pulau Redang,2026-07,25
Pulau Redang,2026-08,46
Pulau Redang,2026-09,6
Pulau Sipadan,2023-03,2
Pulau Sipadan,2023-04,13
Pulau Sipadan,2023-05,3
Pulau Sipadan,2023-06,12
Pulau Sipadan,2023-07,9
Pulau Sipadan,2023-08,6
Pulau Sipadan,2023-09,2
Pulau Sipadan,2023-10,5
Pulau Sipadan,2023-11,6
Pulau Sipadan,2023-12,8
Pulau Sipadan,2024-01,2
Pulau Sipadan,2024-02,2
Pulau Sipadan,2024-03,7
Pulau Sipadan,2024-04,3
Pulau Sipadan,2024-05,1
Pulau Sipadan,2024-06,5
Pulau Sipadan,2024-07,3
Pulau Sipadan,2024-08,7
Pulau Sipadan,2024-09,3
Pulau Sipadan,2024-10,4
Pulau Sipadan,2024-11,3
Pulau Sipadan,2024-12,1
Pulau Sipadan,2025-01,3
Pulau Sipadan,2025-02,2
Pulau Sipadan,2025-03,7
Pulau Sipadan,2025-04,2
Pulau Sipadan,2025-05,6
Pulau Sipadan,2025-06,5
Pulau Sipadan,2025-07,5
Pulau Sipadan,2025-08,6
Pulau Sipadan,2025-09,7
Pulau Sipadan,2025-10,5
Pulau Sipadan,2025-11,7
Pulau Sipadan,2025-12,4
Pulau Sipadan,2026-01,4
Pulau Sipadan,2026-02,2
Pulau Sipadan,2026-03,3
Pulau Sipadan,2026-04,3
Pulau Sipadan,2026-05,6
Pulau Sipadan,2026-06,3
Pulau Sipadan,2026-07,3
Pulau Sipadan,2026-08,7
Pulau Sipadan,2026-09,3
Pulau Tioman,2026-03,19
Pulau Tioman,2026-04,48
Pulau Tioman,2026-05,33
Pulau Tioman,2026-06,32
Pulau Tioman,2026-07,34
Pulau Tioman,2026-08,59
Pulau Tioman,2026-09,16
