destination,rating,text,month
Penang Hill,5,升旗山是檳島最高峰之一，主峰西方山海拔833公尺，也是東南亞歷史悠久的英國殖民山站，2021年更列入UNESCO人與生物圈保護區。距離喬治市不遠，完整遊覽約2～3小時。這次特別早起，5:50從飯店出發，約6:10抵達纜車站，因為人潮不多，順利搭上6:30第一班纜車上山看日出。百年纜車全長2007公尺，最大坡度達42度，約五分鐘就能抵達山頂，沿途穿梭熱帶雨林，還能看到殖民時代留下的百年洋樓，本身就是很值得體驗的旅程。抵達山頂時天色仍從黑夜逐漸轉亮，看著城市與山林慢慢被晨光照亮，景色非常迷人。山頂氣溫也比市區低約5～8℃，清晨特別舒服。若想避開人潮又欣賞日出，非常推薦搭第一班纜車上山。,2026-09
Penang Hill,5,very nicee and beautiful place,2026-09
Penang Hill,5,Had a great time at Penang Hill! The view from top is very beautiful. Definitely will come back again,2026-09
Penang Hill,5,"Lovely view, very worth it to visit.",2026-09
Penang Hill,1,这地方咋都有人吹啊…过渡商业化 风景非常一般…完全不推荐,2026-09
Penang Hill,5,One of the best place in Penang.,2026-09
Penang Hill,5,Penang Hill is a great place to enjoy the beautiful views of Penang. The weather was pleasant and the surroundings were peaceful. The view from the top was definitely one of the highlights. A nice place to visit with family or friends.,2026-09
Penang Hill,5,"Penang Hill is definitely worth visiting! The view from the top was beautiful, especially the city skyline and surrounding greenery. The weather was also nice and refreshing. It’s a great place to relax, enjoy nature, and take some beautiful photos. Overall, I had a really enjoyable experience and would definitely recommend visiting Penang Hill! 🌿✨",2026-09
Penang Hill,5,"My experience at Penang Hill was amazing. The view of Georgetown was beautiful, and the funicular ride was really exciting. I enjoyed the cool weather and peaceful atmosphere. I would definitely visit again!",2026-09
Penang Hill,5,Sangat2 wow,2026-08
Penang Hill,3,"Alhamdulillah cuaca ok harini xpanas sgt..jerebu masih ada sikit..
Nak complaint sikit ttg Surau kt atas bukit tu..tolong la renovate bg bersih dan cantik..
Pastu harga ticket yg nk ke habitat track tu utk warganegara mahal sgt smpai rm78/pax after 5pm
Lalu jln kaki je pn..",2026-08
Penang Hill,5,"Really quite lovely walk, very steep but very short. Went in the morning for a bit of shade, had a cendol at the top and then walked down through the botanical garden route - rather pretty views on the way up but less so on the way down. During the hike up I had a nice chat with a retired man in his 60s. Apparently he does the route a couple times a week. I think he got bored of me because about 10 minutes in he told me my pace was shameful for a young person. While he was not wrong, I think he was just trying to get me to speed up and leave him alone.",2026-08
Penang Hill,5,Good,2026-08
Penang Hill,5,재밋다,2026-08
Penang Hill,4,"Hmmm ga ada apa apa sih selain pemandangan yang bagus 😉.
Kami pergi ±jam 12 siang naik bus sampai sana ±jam 1 lah. Antriannya woww. Beli tiket dulu baru pergi makan. Btw makan di pemberhentian bus yang samping enak juga 😄. Beli tiket langsung di tempat. Maps nya sih kurang guna 🫠 ga masuk ke habitat karena di rasa kurang sepadan. 2-3 jam juga sudah cukup untuk keliling (tanpa pergi ke habitat). Btw kalau lihat orang naik buggy car ke suatu arah kalian ikut aja naik soalnya kalau jalan kaki jauhnya minta ampun 🤣. Harga buggy car 40 Rm, muat untuk 5 orang. Ada food court juga ya, setelah turun dadi eskavator terakhir lurus aja sampai nemu tuh food court yang disebelah kiri agak turun ke bawah dikit. Ada jual makan + minum + dessert + es krim. Itu aja sih review nya.",2026-08
Penang Hill,1,The Indian Staff very rude...will never coming again...worst experience,2026-08
Penang Hill,4,"Carina come gita da fare in giornata, per stare in mezzo alla natura. C’è tanta gente, si possono prendere il biglietti “premium”, direttamente alla base della funicolare, per non fare la coda. Consiglio anche la gita, in cima, all’Habitat, si gode di una bella vista. Nei percorsi abbiamo visto diverse scimmie",2026-08
Penang Hill,3,"Beware of a young (early 20s) Chinese buggy driver, he tried to SCAM us of RM55 for 2-way ride to Kopi Hutan. Asked another driver & the real price as of 23/8/2026 is actually RM20 for a 1-way ride, RM40 for 2-way, or RM15 for the ride back to funicular if you dined at Kopi Hutan.

Most of the staff at Penang Hill look like they hate being there.

Aside from that. Facilities are generally well-maintained",2026-08
Penang Hill,3,"The weather temperature is nice, but all the facilities required to pay for fun. 🫠",2026-08
Penang Hill,1,Shit place,2026-08
Penang Hill,1,Paying rm10 for adult rm8 for Kids for the toys museum. What a scam,2026-08
Penang Hill,5,"Penang Hill is a great place to visit with beautiful views of Penang. The funicular train ride was enjoyable, and the weather at the top was cool and refreshing. Nice atmosphere, great scenery and definitely worth visiting! 🌿⛰️",2026-08
Penang Hill,5,Beautiful scenery and a refreshing escape from the city. The view from the top is absolutely worth the trip!,2026-08
Penang Hill,5,Excellent,2026-08
Penang Hill,5,ช่วงวันหยุด ช่วงเทศกาล แนะนำให้ซื้อ express lane  เพราะเวลาขึ้นลงจะเร็วมากๆ ไม่ต้องมาต่อแถว,2026-08
Penang Hill,5,"Exceptional Buggy Tour with Nazri – Highly Recommended!We had an absolutely wonderful experience touring Penang Hill, thanks to our fantastic buggy driver, Nazri. He made our visit incredibly memorable by sharing fascinating insights into the history of the hill and the lives of its current residents. His deep knowledge and engaging storytelling truly brought the area to life.Nazri was extremely accommodating, stopping at several scenic spots along the way to ensure we could take photos and capture the beautiful views. What stood out even more than his excellent guiding skills was his remarkable character. Due to an oversight on our part, we unfortunately did not have cash to tip him. We offered to buy him lunch at the food court instead, but they did not accept credit cards either. Despite this, Nazri remained incredibly gracious. He waved goodbye with a huge, genuine smile and left us with a fantastic lasting impression of Penang hospitality.If you visit Penang Hill, look out for Nazri. He is a wonderful gentleman and an outstanding guide!",2026-08
Penang Hill,5,"Great place to visit and definitely worth exploring. Make sure you keep your ticket safely, as you will need to use the same ticket when entering and exiting the attraction. Don’t throw it away until you have completely finished your visit.",2026-08
Penang Hill,5,"When going for third time in 2026, found a lot of constructions at the hill. The small stalls are selling with affordable prices. We hv to wait for 1:30 hrs for up going for train due to weekend jam as well as 1:30 hrs for going down.",2026-08
Penang Hill,5,"Go early to avoid the funicular queue.
Highlights included walking through The Habitat canopy walk, enjoying panoramic views of George Town and the mainland, and exploring the colonial-era bungalows.",2026-08
Penang Hill,4,"Sẽ hơi chán nếu bạn là người việt đã từng đến bà nà hill mà không muốn quay lại, nơi đây y hệt như vậy, đi một lần cho biết chứ không có ý định quay lại",2026-08
Penang Hill,4,日曜日の午前10時30分頃に到着しましたが、すでに多くの観光客で賑わっており、かなりの混雑状況でした。スタンダードチケットを購入した後、ケーブルカーに乗車できるまでの待ち時間は約1時間10分ほど。待ち時間を短縮できるExpressチケットは、この日は一時的に販売停止となっており購入することができませんでした。ケーブルカーの前方または後方の席から美しい景色を楽しみたい方は、優先搭乗が可能なExpressチケットを事前に確保しておくことをおすすめします。特に週末や観光シーズンは混雑が予想されるため、時間に余裕を持った訪問が安心です。,2026-08
Penang Hill,1,"This is honestly the only negative experience we have had in Malaysia. Everything else about our trip has been absolutely fantastic, but Penang Hill was a complete disappointment.

The organization is terrible. The price is ridiculously high for what it actually offers, and there is very little to see or do that justifies the cost.

The waiting times are endless, often in areas with no air conditioning, where you are basically left melting in the heat. Your ticket gets checked over and over again for absolutely no apparent reason, making the whole process even slower and more frustrating.

The return process is even more absurd. You have to request another ticket by handing over the ticket you already have, only to receive a small piece of paper that gets thrown away immediately. Then, right afterwards, they ask you for the original ticket again. Completely pointless and unnecessarily complicated.

The funicular is another nightmare. They pack people inside like sardines. There is barely enough room to breathe, let alone enough space to hold onto something safely. It is overcrowded and poorly managed.

The staff were also slow and not particularly friendly, which certainly did not help.

Overall, this was an entire day wasted for absolutely nothing. We have had an amazing time everywhere else in Malaysia, so this experience was particularly disappointing. Save your money and your time. Penang Hill is absolutely not worth it.",2026-08
Penang Hill,5,"Must See in the Island. If you are able to hike Up, but taking the train Up will also give you the amazing Views. Tipp: Try to come outside the weekends and relatively early!",2026-08
Penang Hill,5,I'd recommend going as early as possible before it gets busy. The funicular ride to the top was easy and amaizing to see the climb up the hill. Worth the money. Spectacular views from up there. We were just in time before the fog took over and you could not see anything from that point on. (check the weather if you're planning on going) Spend a good 1 hour or more up there.,2026-08
Penang Hill,5,I went up before 9am and there’s a cheaper admission fee to take the furnicular train up Penang Hill. There’s also a priority seating available if you have a young children with you. The view is great as well. Suitable to bring young children here as well.,2026-08
Penang Hill,1,"Lo del funicular para bajar y subir, muy mal organizado y mucha espera. Arriba te dan un papel con un turno y pasa gente delante que tiene turno detrás de ti.",2026-08
Penang Hill,4,建議可以一大早6點半來看日出後，7點半再繼續走到後面圓型看台繞一圈回來，一天的運動就夠了。,2026-08
Penang Hill,1,"Destroys the purpose of walking in nature.

Penang Hill is one of Malaysia’s most beautiful and historically significant attractions. The scenery is breathtaking, the cool climate is refreshing, and the lush rainforest creates what should be a peaceful escape from the city.

Unfortunately, my experience was overshadowed by one major issue that the Penang State Government and Penang Hill Corporation urgently need to address.

The 2 km walk towards Heritage Cafe has become dominated by golf buggies. Instead of a relaxing nature walk, pedestrians are constantly forced to move aside for buggies travelling at unsafe speeds. Families with young children, elderly visitors and tourists are all sharing the same narrow roads with motorised vehicles that appear to have little speed control or enforcement.

It creates a dangerous environment where people cannot simply enjoy the surroundings without constantly watching for vehicles approaching from behind.

This is a serious safety failure.

One distracted child, one elderly person with slower mobility, or one buggy driver making a mistake could easily result in a severe accident. The current system appears to prioritise transporting more passengers and generating revenue rather than protecting the thousands of visitors walking through the area.

There should be strict speed limits, designated pedestrian-only sections, clearly separated buggy routes and proper enforcement. Instead, the atmosphere feels chaotic and stressful rather than peaceful.

This is not how a protected natural attraction should be managed.

The irony is that visitors come to Penang Hill to experience nature, fresh air and tranquillity. Instead, the constant movement of speeding buggies destroys that experience entirely.

The second disappointment was the Penang Hill Funicular Railway.

As the only transport system to the summit, it should be one of the highlights of the visit. Instead, it felt poorly maintained and badly managed. I paid extra for the Express Premium Pass expecting a comfortable experience, but ended up squeezed into an overcrowded train with very little personal space. The air conditioning was either not working properly or was completely inadequate for the number of passengers, making the journey hot, stuffy and uncomfortable.

The overcrowding also prevented many passengers from enjoying the panoramic views, which is one of the main reasons people take the train in the first place. The interior of the train also appeared unclean and lacking proper maintenance.

For an attraction of this international standard, charging premium prices while delivering such an overcrowded and uncomfortable experience is unacceptable.

Penang Hill deserves to be one of the world’s great nature destinations. The scenery certainly is. However, poor safety management, unregulated buggy operations and overcrowded train services significantly diminish what should be an unforgettable experience.

I sincerely hope the Penang State Government and Penang Hill Corporation take these concerns seriously. Do not wait until a serious injury or tragedy occurs before taking action. Visitors deserve a safe, peaceful and well-managed environment that reflects the natural beauty and heritage of Penang Hill.",2026-08
Penang Hill,5,Well worth a visit but I strongly recommend getting the express ticket as the waiting time can be substantial otherwise (20+ minutes to go up).,2026-08
Penang Hill,4,"I visited on a rainy day, but there were still many tourists sightseeing. It took some time to queue for the cable car up the mountain, but everything was well-organised and went smoothly.
The scenery at the peak was beautiful, and the service facilities were adequate. Despite the rain and mist, I could still enjoy many natural views.
The reason I didn't give it a five-star rating is that compared to other mountain scenic spots, there are no particularly magnificent or unique landscapes here. It can only be considered a general leisure travel spot for locals.",2026-08
Penang Hill,2,"We were dissapointed to see an area on the hill where they sell photos with ""exotic pets"" like a capybara. This has been shown  to be distressing for animals. Furthermore these are not pets! It ruined our experience seeing people queue for this.",2026-08
Penang Hill,5,"My first visit to Penang Hill and it was a very pleasant one. We took the tram up the hill and it was a short ride. I heard that if you choose to hike up, it could take 1 hour to 1.5 hours depending on your fitness level. Once we are up the hill, the weather was very pleasant and cool. We were told that the weather is around 5degree less than the Penang island. We walked around and took the buggy ride too. The buggy drivers were all very nice and polite. There’s also a small halal food court and several stalls selling souvenirs. A very pleasant visit.",2026-08
Penang Hill,5,This is a must-go for any traveler who goes to Penang. The views are amazing and the nature is soothing. Get the tram and experience the sights at the top! Or you can hike up but you'll definitely be hot and sweaty with the humid weather (nothing unexpected from a hike). Definitely recommended.,2026-08
Penang Hill,5,"Fantastic Family Day Out at Penang Hill! 🌿🚂
We had an amazing family trip to Penang Hill! It’s a wonderful escape into nature with cool breezes, rich history, and plenty of fun activities for both adults and kids.
🚂 The Funicular Train Ride
We took the funicular train up and down the hill (RM40 per adult). The ride itself was smooth, fast, and offered beautiful scenic views of the lush greenery as we climbed up to the top.
🛺 Insightful Jeep Tour
Once at the top, we hired a jeep ride for the whole family for RM40, and it was worth every ringgit! Our driver was super friendly and doubled as an informative tour guide. He shared fascinating historical insights about how the British colonized Penang and pointed out the various grand heritage bungalows, sharing interesting stories about which famous billionaires owned them. It made exploring the area so much more meaningful than just walking around blindly!
📸 Highlights & Kid-Friendly Fun
Animal Encounters: The kids were absolutely thrilled to meet and interact up close with a friendly capybara—definitely a highlight photo op!
Charming Vintage Spot: We loved exploring the scenic pathways and stumbling across vintage touches, like the classic red British pillar post box nestled among the lush greenery.
Overall Verdict
Whether you are here for the cool mountain air, the rich history, or family-friendly activities, Penang Hill is a must-visit in Penang. Highly recommended for families looking for a delightful mix of nature, history, and fun!",2026-08
Penang Hill,5,Nice place,2026-08
