destination,type,state,lat,lon
Penang Hill,land,Penang,5.42444,100.268917
BOH Tea Centre (Sungei Palas Garden),land,Pahang,4.519577,101.41607
Kellie's Castle,land,Perak,4.4661,101.1225
Mount Kinabalu,land,Sabah,6.0754,116.5585
Langkawi Skybridge Cable Car,land,Kedah,6.3833,99.6667
Petronas Twin Towers,land,WP Kuala Lumpur,3.1579,101.7116
Jonker Street Night Market,land,Melaka,2.1958,102.2464
Genting SkyWorlds Theme Park,land,Pahang,3.4219,101.7945
Pulau Redang,marine,Terengganu,5.77,103.02
Pulau Perhentian,marine,Terengganu,5.9,102.74
Pulau Tioman,marine,Pahang,2.79,104.16
Pulau Sipadan,marine,Sabah,4.11,118.63
Pulau Payar,marine,Kedah,5.79,100.02
