marine_park,month,visitors,sst_celsius,turbidity_index,sst_anomaly,visitor_norm,sst_anomaly_norm,turbidity_norm,env_review_sentiment,neg_review_norm,risk_score,risk_tier
Pulau Payar,2023-01,129,28.55,700.6837,-1.5068888888888878,1.0,0.0,0.0934425248077122,0.8566625,0.0,36.401637872115685,Medium
Pulau Payar,2023-02,5,28.89,392.2054,-1.166888888888888,0.03125,0.0,0.0460528364447146,0.0,-0.0,1.7845425466707188,Low
Pulau Payar,2023-03,1,29.0,730.8044,-1.0568888888888883,0.0,0.0,0.0980697889824542,0.0,-0.0,1.471046834736813,Low
Pulau Payar,2023-04,1,30.46,834.6529,0.4031111111111123,0.0,0.2534581528573433,0.1140234170073907,0.0,-0.0,10.581386605117874,Low
Pulau Payar,2023-05,1,31.05,696.8858,0.9931111111111122,0.0,0.6244236411904439,0.0928590759964544,0.0,-0.0,23.247713581612352,Low
Pulau Payar,2023-06,1,30.73,260.3938,0.6731111111111119,0.0,0.4232220203996095,0.0258034035133607,0.0,-0.0,15.19982176668674,Low
Pulau Payar,2023-08,2,30.66,416.5419,0.6031111111111116,0.0078125,0.3792091658516143,0.049791508341072,0.8834,0.0,14.29263092992258,Low
Pulau Payar,2023-10,1,30.31,564.8857,0.2531111111111102,0.0,0.1591448931116384,0.0725806849300989,0.0,-0.0,6.658781532858827,Low
Pulau Payar,2024-01,1,28.24,243.7805,-1.81688888888889,0.0,0.0,0.0232512009445544,0.0,-0.0,0.348768014168316,Low
Pulau Payar,2024-02,1,28.99,377.2382,-1.06688888888889,0.0,0.0,0.0437535144383801,0.34,0.0,0.6563027165757016,Low
Pulau Payar,2024-12,2,29.29,195.839,-0.7668888888888894,0.0078125,0.0,0.0158862331505324,0.0,-0.0,0.5117309972579859,Low
Pulau Payar,2025-01,2,28.76,295.8543,-1.296888888888887,0.0078125,0.0,0.0312509894349509,0.9952,0.0,0.7422023415242636,Low
Pulau Payar,2025-03,1,29.59,658.4634,-0.4668888888888887,0.0,0.0,0.0869564709763981,0.0,-0.0,1.3043470646459714,Low
Pulau Payar,2025-06,1,30.54,993.3981,0.4831111111111106,0.0,0.3037585580550508,0.1384104988770772,0.0,-0.0,12.707707015082937,Low
Pulau Payar,2025-08,2,30.63,577.2875,0.5731111111111105,0.0078125,0.3603465139024728,0.0744858997771084,0.0,-0.0,14.002853983243174,Low
Pulau Payar,2025-09,1,30.19,842.5542,0.1331111111111127,0.0,0.0836942853150772,0.1152372467797363,0.9744,0.0,4.6578586877237464,Low
Pulau Payar,2026-04,2,30.96,866.8902,0.9031111111111124,0.0078125,0.5678356853430219,0.1189758418640644,0.9577,0.0,21.932324114966733,Low
Pulau Payar,2026-07,1,30.79,419.051,0.7331111111111106,0.0,0.4609473242978901,0.0501769664659112,0.0,-0.0,16.88581084741482,Low
Pulau Payar,2026-08,2,30.83,702.243,0.7731111111111098,0.0078125,0.4860975268967438,0.093682070801918,-0.5729,0.5960878160441161,27.633399244076546,Low
Pulau Perhentian,2025-05,1,30.65,471.3714,0.9719999999999978,0.0,0.6111499231521577,0.0582146386491,0.0,-0.0,22.263466890062016,Low
Pulau Perhentian,2025-06,14,30.34,3413.0779,0.661999999999999,0.1015625,0.4162358530110377,0.5101315296926654,0.7375,0.0,25.774915300776303,Low
Pulau Perhentian,2025-07,19,30.29,515.4778,0.6119999999999983,0.140625,0.3847980997624694,0.0649904428168931,0.9826,0.0,19.364665133939827,Low
Pulau Perhentian,2025-08,21,30.32,371.5637,0.6419999999999995,0.15625,0.4036607517116108,0.0428817747191978,0.7187,0.0,20.240102930694345,Low
Pulau Perhentian,2025-09,30,30.18,398.838975,0.5019999999999989,0.2265625,0.3156350426156205,0.0470719131576717,-0.18684,0.19440224742482573,22.599026400284178,Low
Pulau Perhentian,2025-10,12,29.75,426.11425,0.0719999999999991,0.0859375,0.0452703646779371,0.0512620515961455,0.82945,0.0,5.36120603766998,Low
Pulau Perhentian,2025-11,3,28.76,453.389525,-0.9179999999999992,0.015625,0.0,0.0554521900346193,0.0,-0.0,1.3786578505192892,Low
