destination,rating,rating.1,text,month,translation_status,failure_reason,issue
The Taaras Beach & Spa Resort,5/5,,"The Taaras is one of the best hotels we’ve stayed at! 🌴❤️||We went island hopping, and the kids really enjoyed the activity. 🏝️🚤🐠 We had such a wonderful and memorable time together.||Beautiful place, great experience, and perfect for a family holiday. We will definitely come back again! ⭐⭐⭐⭐⭐",2026-08,not_applicable,,repetition;
The Taaras Beach & Spa Resort,,5.0,"Big thanks to Mr. Saiful for being so helpful and friendly throughout our stay!  From the moment we arrived, he was really attentive and always ready to help whenever we needed anything. Memang rasa sangat welcomed and well taken care of. You can really see that he genuinely cares about the guests and always goes the extra mile to make sure everything is okay. Really appreciate the kindness and excellent service, definitely made our stay even more special!  See ya again ❤️",2026-08,not_applicable,,possible_malay_mix;
Sipadan Kapalai Dive Resort,5/5,,"We had an unforgettable trip.  Kapalai is built on a sandbank in the middle of the Celebes Sea; it is 40 minutes by speedboat from Semporna town jetty.  Safety is ensured by 24/7 armed Malaysian military presence.  ||On arrival we were warmly greeted by smiling staff with cool towels and drinks; lunch was served shortly after in the beautiful airy dining area.  There were beautiful flowers and plants along the walkways, thanks to the hard work of the gardeners.||Our overwater villa was clean and spacious with a deck.  It was well appointed, with a shower, separate bath, and all the mod cons -  airconditioning, fans, a fridge, hot water, and wifi.  It did become quite hot in the afternoon despite the airconditioning, and we found it much cooler in the open-air garden lounge.  We heard loud croaks every night in our villa which turned out to be a night heron which had taken up residence on the stilts beneath our villa.  ||The sunset bar is highly recommended, as is the walkway to the lookout point where you can enjoy views of the lovely sunset. There is also a sunrise lookout tower on the opposite end of the resort.  ||The room rate included full board, and the buffet meals did not disappoint.  The variety and quality of food were impressive!  We were pleasantly surprised by a private dinner on our first night (shoutout to Downbelow Marine & Wildlife Adventures, our tour agent, for organizing this) - the dishes were excellent and our table was right next to the water.||The best was yet to come..... early the next morning we couldn't believe our eyes when we saw dozens of green sea turtles swimming past our villa to the open sea, coming up every now and then to take a breath!  This was an incredibly magical experience!  Kapalai has sea grass, and we could sometimes spot these gentle giant creatures grazing in the water beside the walkways.||Snorkelling in the Dive Centre was another highlight with the gorgeous coral and fish! The designated area was small but as there were only 4-5 of us it was fine. ||We walked most of the time from our villa to the common areas but when it was hot we opted for the buggy.  The buggy drivers were always cheerful and friendly.||We thoroughly enjoyed our trip, and we left wishing we could have stayed longer.",2026-08,not_applicable,,repetition;
Sipadan Kapalai Dive Resort,,3.0,"6 days
Good points
・Sea is beautiful
I saw the beautiful sea around the world, so it is about 7.5 points. The beautifulness of the sea changes greatly depending on the weather and sea conditions.
· Rich in fish
・ダイビング diving center

Bad
- Most Chinese tourists. They are bad manners.
Meals are buffet style, but they do not follow the order. I get in from the side.
I don’t think of the other person, and I don’t know if I come back. Create high-energy state.
After 30 minutes, there is no delicious food.
・There is no meal and it is unpleasant.
Meals are not included.
You can also enjoy salads and fruits.
The crab is sometimes served, but it is like a rubber.
・High
You can rent a bicycle. It takes about 7 minutes to walk.
High alcohol
・You can only go to Sipadan Island.
If you are going to snorkel, you need to apply for an external tour. However, even if it is cheap, 800 RM (¥32,000 per person)
If you don’t pay 450 RM for additional diver, you can’t go to Sipadan Island.

Total theory; prices and experiences are not included.
If you want to go here, you can enjoy it cheaper in other places.
I think that it will be cheap if I have been diving with the buddy in the diver.",2026-06,translated_argos,,non_latin_script;
The Taaras Beach & Spa Resort,5/5,,"My friends and I had an amazing stay! The service was excellent, the facilities were great, and everything was clean and comfortable. We were even upgraded to a better room, which made our experience even more special. We had so much fun and honestly didn’t want to leave. Highly recommended! ⭐⭐⭐⭐⭐",2026-05,not_applicable,,repetition;
Sipadan Kapalai Dive Resort,,4.0,"入住 Sipadan Kapalai Dive Resort 之後，最大感覺係「真正離開咗日常生活」。整個度假村建喺海上，四面環海，環境非常安靜，日出同日落都好靚，夜晚只聽到海聲，對放鬆心情同減壓好有幫助。

潛水係最大亮點。Kapalai 附近潛點微距生物非常多，潛導專業又有耐性，會細心帶你睇生物，就算唔係資深潛水員都覺得安心同享受。整體安排唔趕，節奏好舒服。

房間係水上屋，唔算豪華但乾淨企理，冷氣夠、床好瞓。WiFi 唔太穩定，但反而令人放低手機，專心休息。

餐飲選擇唔算多，但食物新鮮，潛水完食會特別滿足。
整體嚟講，呢度唔適合想玩樂或夜生活嘅人，但如果你係為潛水同真正放鬆而嚟，Kapalai 係一個好值得體驗嘅地方。

⸻

English

Staying at Sipadan Kapalai Dive Resort truly felt like disconnecting from everyday life. The resort is built over the sea, surrounded by water in every direction, with a very peaceful atmosphere. Sunrises and sunsets are beautiful, and at night you only hear the sound of the ocean — perfect for relaxing and relieving stress.

Diving is definitely the highlight. The nearby dive sites around Kapalai are rich in macro marine life, and the dive guides are professional and patient, always taking time to point out small creatures. Even for non-expert divers, the experience feels safe and enjoyable. The schedule is well-paced and not rushed.

The water villas are simple but comfortable, clean, with good air conditioning and comfortable beds. WiFi is limited, but that actually helps you unplug and fully relax.

Food options are not extensive, but meals are fresh and satisfying, especially after diving.
Overall, this is not a resort for nightlife or entertainment, but if you come for diving and true relaxation, Sipadan Kapalai is absolutely worth it.",2026-01,not_applicable,,non_latin_script;
Sipadan Kapalai Dive Resort,5/5,,環境超級,2025-08,translated_argos,,non_latin_script;
Sipadan Kapalai Dive Resort,,5.0,"有 房間陽台可以看到海龜風景宜人,一輩子一定定",2025-05,translated_argos,,non_latin_script;
The Taaras Beach & Spa Resort,5/5,,📍The Taaras Beach & Spa Resort（レダン島）レビュー||マレーシア・レダン島にある|The Taaras Beach & Spa Resort に宿泊してきました🏝️✨||結論から言うと、|✔️ 海の透明度がレベチ|✔️ リゾート感ガチ強い|✔️ のんびりステイしたい人に最高||って感じの“ご褒美系リゾート”でした🤍||まずビーチが本当に綺麗で、|エメラルドブルーの海と白砂のコントラストが完璧すぎる…！||朝は静かで、写真もめちゃくちゃ撮りやすい📸|（リール勢にはかなり推せるロケーション）||お部屋も広めで清潔感◎|バルコニーからの景色がリゾート感満点で、|着いてすぐテンション上がりました🌴✨||スタッフさんも親切で、|空港からのボート移動〜チェックインまでスムーズ。||そして何より、|**人が多すぎない“隠れ家感”**が最高ポイント。||✔️ カップル旅行|✔️ 女子旅|✔️ のんびりリフレッシュ旅||このあたりの目的ならかなり相性いいと思います💭||レダン島自体がまだ日本人少なめなので、|「人と被らない海外リゾート行きたい」人には特におすすめ🤍||特に好きなスタッフさんは|Hamdan Rajabさんがとても親切で色々と滞在中に手伝ってくださったのと、Sarahさんが、シュノーケリングで沢山お魚を教えてくれたおかげでとっても楽しかったです！！||オフシーズンでも楽しめるのでぜひ行ってみてください✨||またゆっくり来たいと思えるリゾートでした🏝️✨,2026-02,untranslated_no_method_available,too_long_649_chars,non_latin_script;
Berjaya Tioman Resort - Malaysia,,5.0,"Excellent!!!!!!!
I am super happy with the stayed
I am happy with hospitality of Captain Loovi and Encik Saiful. Many Тнαик уσυ(•ᴗ•)♥️тнαик уσυ(•ᴗ•)♥️
Also indeed super happy with the Room by the sea. It’s really awesome. Terima Kasih sangat sangat Encik Rixal and  Encik Haiziey. All of best and keep it up Team cheers cheers cheers",2026-06,not_applicable,,non_latin_script;repetition;possible_malay_mix;
