marine_park,month,sst_celsius,turbidity_index
Pulau Redang,2023-01,27.81,
Pulau Redang,2023-02,27.58,
Pulau Redang,2023-03,27.83,2749.5751
Pulau Redang,2023-04,30.03,4397.4225
Pulau Redang,2023-05,30.78,977.1613
Pulau Redang,2023-06,30.09,377.2795
Pulau Redang,2023-07,30.11,1576.6289
Pulau Redang,2023-08,30.02,899.671
Pulau Redang,2023-09,29.95,
Pulau Redang,2023-10,30.32,1950.6053
Pulau Redang,2023-11,29.86,
Pulau Redang,2023-12,28.36,
Pulau Redang,2024-01,28.0,
Pulau Redang,2024-02,28.55,926.4059
Pulau Redang,2024-03,29.26,1952.2932
Pulau Redang,2024-04,30.48,1963.4506
Pulau Redang,2024-05,31.13,466.0564
Pulau Redang,2024-06,31.07,
Pulau Redang,2024-07,30.27,318.499
Pulau Redang,2024-08,30.34,2225.1453
Pulau Redang,2024-09,29.98,466.7065
Pulau Redang,2024-10,29.94,2085.5501
Pulau Redang,2024-11,29.83,
Pulau Redang,2024-12,28.54,
Pulau Redang,2025-01,28.0,
Pulau Redang,2025-02,27.69,
Pulau Redang,2025-03,28.33,3525.7857
Pulau Redang,2025-04,29.55,1207.0262
Pulau Redang,2025-05,30.54,437.8911
Pulau Redang,2025-06,30.05,310.4187
Pulau Redang,2025-07,30.05,479.1602
Pulau Redang,2025-08,30.15,819.5518
Pulau Redang,2025-09,30.02,4591.7168
Pulau Redang,2025-10,29.69,
Pulau Redang,2025-11,28.85,
Pulau Redang,2025-12,28.08,1032.9223
Pulau Redang,2026-01,27.61,579.4429
Pulau Redang,2026-02,27.63,5377.2334
Pulau Redang,2026-03,28.89,2092.6022
Pulau Redang,2026-04,29.81,1028.8183
Pulau Redang,2026-05,30.73,836.4788
Pulau Redang,2026-06,30.55,583.8899
Pulau Redang,2026-07,30.36,1679.4685
Pulau Redang,2026-08,30.19,367.9387
Pulau Redang,2026-09,30.08,
Pulau Redang,2026-10,,
Pulau Redang,2026-11,,
Pulau Redang,2026-12,,
Pulau Perhentian,2023-01,27.88,
Pulau Perhentian,2023-02,27.95,
Pulau Perhentian,2023-03,28.2,
Pulau Perhentian,2023-04,30.03,880.6635
Pulau Perhentian,2023-05,30.79,581.5219
Pulau Perhentian,2023-06,30.34,265.9618
Pulau Perhentian,2023-07,30.31,
Pulau Perhentian,2023-08,30.3,1812.351
Pulau Perhentian,2023-09,30.18,
Pulau Perhentian,2023-10,30.37,578.4498
Pulau Perhentian,2023-11,29.9,
Pulau Perhentian,2023-12,28.51,
Pulau Perhentian,2024-01,28.25,
Pulau Perhentian,2024-02,28.82,787.747
Pulau Perhentian,2024-03,29.52,2284.9062
Pulau Perhentian,2024-04,30.62,1345.3117
Pulau Perhentian,2024-05,31.22,556.659
Pulau Perhentian,2024-06,31.2,
Pulau Perhentian,2024-07,30.5,474.3402
Pulau Perhentian,2024-08,30.63,697.3175
Pulau Perhentian,2024-09,30.23,
Pulau Perhentian,2024-10,30.03,1020.4119
Pulau Perhentian,2024-11,29.98,
Pulau Perhentian,2024-12,28.53,
Pulau Perhentian,2025-01,28.18,
Pulau Perhentian,2025-02,27.92,
Pulau Perhentian,2025-03,28.65,
Pulau Perhentian,2025-04,29.74,958.6341
Pulau Perhentian,2025-05,30.65,471.3714
Pulau Perhentian,2025-06,30.34,3413.0779
Pulau Perhentian,2025-07,30.29,515.4778
Pulau Perhentian,2025-08,30.32,371.5637
Pulau Perhentian,2025-09,30.18,
Pulau Perhentian,2025-10,29.75,
Pulau Perhentian,2025-11,28.76,
