destination,rating,rating,text,time
Perhentian Island Resort,,1.0,"We have never stayed in accommodation that was this dirty. The location itself is beautiful, and thankfully, the air conditioning worked.

Only Mimi speaks English; unfortunately, no one else does. Whenever we wanted to order something, we had to use hand gestures and try to explain what we wanted. The food is not recommended either, so we ended up walking to a resort further down the beach to eat.

There were insects everywhere in our room, including biting ants, mosquitoes, and spiders. The bathroom had clumps of hair left behind by previous guests, and judging by the overall condition of the room, it was clear that it had not been properly cleaned.

The water smelled strongly of sewage, which was extremely unpleasant.

The beach loungers are made of bare wood with no cushions, making them very uncomfortable to lie on.

Overall, this place is far too expensive for what you get. The property is in serious need of renovation and, in our opinion, should either be properly renovated or closed until it meets basic standards.

We also did not feel particularly welcomed by the staff. Most of the time, the staff were either sleeping in the hammocks or sitting on their phones. If you decide to stay here, be prepared for very limited English communication and a lack of service.

The location is beautiful, and the air conditioning worked, but unfortunately, those are the only positives we can mention. For the price, we expected much more.",2026-09-11T11:58:34.135Z
Perhentian Island Resort,,1.0,"Notre séjour au Pir Perhentian a malheureusement été une grande déception.
L’hôtel possède pourtant un véritable atout : une très belle plage privatisée, dans un cadre magnifique.
Cependant, la qualité de la chambre et surtout son niveau de propreté sont très loin de ce que nous pouvions attendre.
Dès notre arrivée, nous avons été confrontés à une forte odeur nauséabonde et d´égoût dans la salle de bain, qui était par ailleurs loin d’être propre. La vitre n’était visiblement pas nettoyée et l’ensemble donnait une impression générale de manque d’entretien.
Les serviettes fournies étaient également sales et présentaient des taches jaunes, ce qui est particulièrement décevant et peu acceptable pour un établissement hôtelier.
Mais le plus désagréable a été de retrouver des cafards dans la chambre pendant la nuit à 4h du matin, dont un qui est apparu sur notre table de chevet alors que nous dormions. Ce genre de situation est particulièrement stressant et nous a empêchés de par ailleurs de dormir sereinement mais de profiter pleinement de la fin de notre séjour. Je ne me suis sentie vraiment pas à l’aise du tout dans notre chambre et ne prenais aucun plaisir à y être dedans ma seule envie était d’en sortir et une hâte que le séjour ce termine. Nous avons conclue que ça ne servait à rien de se plaindre à la réception au vu de tout les précédents avis négatifs sur plusieurs années et que rien avait changer ou qu’aucun remboursement n’avait été fait.",2026-09-10T07:30:19.261Z
Perhentian Island Resort,,5.0,,2026-09-08T16:40:52.256Z
Perhentian Island Resort,,3.0,"pulau cantik tapi daytrip sepoi sbb tak bawak kali pergi byk tempat, ala holiday. pastu sidai customer kat dua jam tunggu bot balik",2026-09-05T02:58:13.532Z
Perhentian Island Resort,,4.0,,2026-09-04T00:30:36.114Z
Perhentian Island Resort,,5.0,The best holiday,2026-09-03T05:24:52.456Z
Perhentian Island Resort,,5.0,"An Amazing Family Getaway at Pulau Perhentian Resort!

We had such a wonderful stay at Pulau Perhentian Resort with our children, and it was truly an unforgettable family holiday! 🏝️💙

The beach was absolutely breathtaking crystal-clear turquoise water, incredibly clean surroundings, and beautiful white sand that sparkles under the sunshine. It felt like a little piece of paradise!

Our room was comfortable, clean and cozy, making it a perfect place to relax after a fun day at the beach. The staff were also very friendly, helpful and welcoming, which made our stay even more enjoyable.

And of course, the food deserves a special mention! 🍽️ Everything we tried was delicious, and we really enjoyed our meals during our stay.

Most importantly, the resort is very family-friendly, and our children had such a great time. Seeing them enjoy the beautiful beach and island made the trip even more special for us.

Thank you Pulau Perhentian Resort for the wonderful hospitality and beautiful memories. We truly enjoyed our stay and would definitely love to come back again! 🌊☀️🤍

Highly recommended for families looking for a relaxing, beautiful and memorable island getaway!",2026-09-03T03:57:46.839Z
Perhentian Island Resort,,4.0,,2026-09-02T00:32:03.264Z
Perhentian Island Resort,,3.0,"Dubbel gevoel over ons bezoek aan de Perhentian Islands. De natuur is overweldigend prachtig. Het resort is mooi gelegen in de Turtle baai. De voorzieningen zijn in basis allemaal aanwezig op het resort.

De kwaliteit van het resort is echter matig. Huisjes zijn wat verouderd en wij hadden meerdere avonden kakkerlakken op bezoek. Wij verbleven 5 nachten, geen enkele keer is de WC en douche schoongemaakt (wel dagelijks huisje vegen, bed opmaken, nieuwe handdoeken en WC rollen aanvullen). Personeel was matig behulpzaam bij vragen en het restaurant was redelijk van kwaliteit.

In een oerwoud horen dieren en dat daarmee veranen, apen, gekko's en eekhoorns rondlopen is leuk. We hebben daarvan genoten.

Betaling kan overigens gewoon met je creditcard (bij vrijwel alle restaurants op het eiland). Bootservice naar de andere stranden of Kecil kan snel en eenvoudig (deze wel contant betalen). Tip: wil je wijn drinken: neem deze mee vanaf de vaste wal.",2026-08-29T12:37:23.711Z
Perhentian Island Resort,,5.0,,2026-08-26T19:51:51.874Z
Perhentian Island Resort,,3.0,"- habitación justa.
- limpieza justa.
- comodidad justa.
- localización espectacular.
- precio - calidad - caro",2026-08-25T11:13:06.857Z
Perhentian Island Resort,,5.0,Spettacolare,2026-08-23T23:47:42.978Z
Perhentian Island Resort,,5.0,"Sitio con emplazamiento espectacular, pero falta de mantenimiento. Las toallas tienen un color mas que feo y todo está viejo.
En cuanto al servicio, mas serios/as no pueden ser. Tan solo una camarera te sonríe.
En cuanto al alcohol, está prohibido en la parte del restaurante y para tomarte una cerveza te tienes que ir al resort de al lado que está a unos 15 minutos.
Lo que si tiene, es una playa espectacular y nada mas entrar te encuentras una diversidad marina impresionante.",2026-08-22T11:10:19.339Z
