destination,rating,text,month,translation_status,failure_reason,sentiment_score,aspect
Penang Hill,5,"One of the highest peaks in the island is Flag Mount, which is 833 metres above sea level on the Western Hills, and a long-standing British colonial hill station in South-East Asia, which was added to the UNESCO Man and Biosphere Reserve in 2021. It's about two to three hours away from George. This is a particularly early start, leaving the hotel at 5:50 and arriving at the cable station at 6:10, as the first train, which was taken to the mountains at 6:30 because of the low level of crowds. A 100-year-old cable truck, with a maximum slope of 42 degrees, can reach the top of the mountain in about five minutes, travel through the hot forest and see the 100-year-old building left behind by the colonial era, which is in itself a very experienced journey. As we reach the top of the mountain, the sky shines from night to night, looking at the city and the city. The forest is slowly lighted by morning light and the view is very charming. The temperature on the top of the mountain is about 5-8°C lower than in the city and the morning is particularly comfortable. If you want to avoid the crowd and enjoy the sunrise, you are very much recommended for the first ride to the mountain.",1/9/2026,translated_argos,,0.9074,crowding
Penang Hill,5,very nicee and beautiful place,1/9/2026,not_applicable,,0.6326,general
Penang Hill,5,Had a great time at Penang Hill! The view from top is very beautiful. Definitely will come back again,1/9/2026,not_applicable,,0.9241,general
Penang Hill,5,"Lovely view, very worth it to visit.",1/9/2026,not_applicable,,0.7178,general
Penang Hill,1,this is,1/9/2026,translated_argos,,0.0,general
Penang Hill,5,One of the best place in Penang.,1/9/2026,not_applicable,,0.6369,general
Penang Hill,5,Penang Hill is a great place to enjoy the beautiful views of Penang. The weather was pleasant and the surroundings were peaceful. The view from the top was definitely one of the highlights. A nice place to visit with family or friends.,1/9/2026,not_applicable,,0.9801,general
Penang Hill,5,"Penang Hill is definitely worth visiting! The view from the top was beautiful, especially the city skyline and surrounding greenery. The weather was also nice and refreshing. It’s a great place to relax, enjoy nature, and take some beautiful photos. Overall, I had a really enjoyable experience and would definitely recommend visiting Penang Hill! 🌿✨",1/9/2026,not_applicable,,0.9886,general
Penang Hill,5,"My experience at Penang Hill was amazing. The view of Georgetown was beautiful, and the funicular ride was really exciting. I enjoyed the cool weather and peaceful atmosphere. I would definitely visit again!",1/9/2026,not_applicable,,0.9727,general
Penang Hill,5,Very very wow,1/8/2026,translated_manual,,0.6566,general
Penang Hill,3,"Thank God the weather is all right..
Nak Complaint a little about Susu kt up that hill...
It must be the price of a ticket that nk to that habitat track for expensive citizens so that they can have 78 / pax after 5pm
Then, on your feet...",1/8/2026,translated_argos,,0.34,price
Penang Hill,5,"Really quite lovely walk, very steep but very short. Went in the morning for a bit of shade, had a cendol at the top and then walked down through the botanical garden route - rather pretty views on the way up but less so on the way down. During the hike up I had a nice chat with a retired man in his 60s. Apparently he does the route a couple times a week. I think he got bored of me because about 10 minutes in he told me my pace was shameful for a young person. While he was not wrong, I think he was just trying to get me to speed up and leave him alone.",1/8/2026,not_applicable,,0.7555,general
Penang Hill,5,Good,1/8/2026,already_english,,0.4404,general
Penang Hill,5,About Us,1/8/2026,translated_argos,,0.0,general
Penang Hill,4,"Nothing but a nice view.
We leave at 12 noon on the bus to get there at 1. The line is woww. Buy a ticket and go eat. By eating at a nice bus stop, too. Buy a ticket right on the spot. Maps don't do well because it's not worth it. 2-3 hours is also enough to go around. By the way, if you see a guy riding a buggy car in the direction, you can go with him if you walk away for mercy. The cost of buggy car 40 meters, fits for 5 people. There's a food court too yes, after going down the last escalator just straight until you find a food court that's on the left kind of down a bit. There's eating + drinking + dessert + ice cream. That's the review.",1/8/2026,translated_argos,,0.7455,price
Penang Hill,1,The Indian Staff very rude...will never coming again...worst experience,1/8/2026,not_applicable,,0.0,general
Penang Hill,4,"Nice as a day trip to stay in the middle of nature. There are so many people, you can take the tickets “premium”, directly at the base of the funicular, not to queue. I also recommend the trip, on top, to the Habitat, you enjoy a beautiful view. In the paths we saw several monkeys",1/8/2026,translated_argos,,0.9217,crowding
Penang Hill,3,"Beware of a young (early 20s) Chinese buggy driver, he tried to SCAM us of RM55 for 2-way ride to Kopi Hutan. Asked another driver & the real price as of 23/8/2026 is actually RM20 for a 1-way ride, RM40 for 2-way, or RM15 for the ride back to funicular if you dined at Kopi Hutan.

Most of the staff at Penang Hill look like they hate being there.

Aside from that. Facilities are generally well-maintained",1/8/2026,not_applicable,,-0.7672,price
Penang Hill,3,"Beware of a young (early 20s) Chinese buggy driver, he tried to SCAM us of RM55 for 2-way ride to Kopi Hutan. Asked another driver & the real price as of 23/8/2026 is actually RM20 for a 1-way ride, RM40 for 2-way, or RM15 for the ride back to funicular if you dined at Kopi Hutan.

Most of the staff at Penang Hill look like they hate being there.

Aside from that. Facilities are generally well-maintained",1/8/2026,not_applicable,,-0.7672,cleanliness
Penang Hill,3,"The weather temperature is nice, but all the facilities required to pay for fun. 🫠",1/8/2026,not_applicable,,0.6956,general
Penang Hill,1,Shit place,1/8/2026,not_applicable,,-0.5574,general
Penang Hill,1,Paying rm10 for adult rm8 for Kids for the toys museum. What a scam,1/8/2026,not_applicable,,-0.5719,general
Penang Hill,5,"Penang Hill is a great place to visit with beautiful views of Penang. The funicular train ride was enjoyable, and the weather at the top was cool and refreshing. Nice atmosphere, great scenery and definitely worth visiting! 🌿⛰️",1/8/2026,not_applicable,,0.9771,general
Penang Hill,5,Beautiful scenery and a refreshing escape from the city. The view from the top is absolutely worth the trip!,1/8/2026,not_applicable,,0.8353,general
Penang Hill,5,Excellent,1/8/2026,translated_argos,,0.5719,general
Penang Hill,5,"The holidays, the holidays, I suggest you buy an express lane, because the time is almost up. Row",1/8/2026,translated_argos,,0.6369,general
Penang Hill,5,"Exceptional Buggy Tour with Nazri – Highly Recommended!We had an absolutely wonderful experience touring Penang Hill, thanks to our fantastic buggy driver, Nazri. He made our visit incredibly memorable by sharing fascinating insights into the history of the hill and the lives of its current residents. His deep knowledge and engaging storytelling truly brought the area to life.Nazri was extremely accommodating, stopping at several scenic spots along the way to ensure we could take photos and capture the beautiful views. What stood out even more than his excellent guiding skills was his remarkable character. Due to an oversight on our part, we unfortunately did not have cash to tip him. We offered to buy him lunch at the food court instead, but they did not accept credit cards either. Despite this, Nazri remained incredibly gracious. He waved goodbye with a huge, genuine smile and left us with a fantastic lasting impression of Penang hospitality.If you visit Penang Hill, look out for Nazri. He is a wonderful gentleman and an outstanding guide!",1/8/2026,not_applicable,,0.9916,general
Penang Hill,5,"Great place to visit and definitely worth exploring. Make sure you keep your ticket safely, as you will need to use the same ticket when entering and exiting the attraction. Don’t throw it away until you have completely finished your visit.",1/8/2026,not_applicable,,0.9451,general
Penang Hill,5,"When going for third time in 2026, found a lot of constructions at the hill. The small stalls are selling with affordable prices. We hv to wait for 1:30 hrs for up going for train due to weekend jam as well as 1:30 hrs for going down.",1/8/2026,not_applicable,,0.2732,price
Penang Hill,5,"Go early to avoid the funicular queue.
Highlights included walking through The Habitat canopy walk, enjoying panoramic views of George Town and the mainland, and exploring the colonial-era bungalows.",1/8/2026,not_applicable,,0.296,crowding
Penang Hill,4,"It's a bit boring if you're the one who's been to Mrs.hill and you don't want to go back, it's the same place, going once, not wanting to come back.",1/8/2026,translated_argos,,-0.3658,general
Penang Hill,4,"I arrived around 10:30 am on Sunday, but it was already crowded with many tourists and it was quite。. It takes about 1 hour and 10 minutes to get on the cable car after purchasing the standard ticket. Express tickets are temporarily unavailable on this day. If you want to enjoy a beautiful view from the front or rear seat of the cable car, we recommend that you keep the Express ticket in advance that is capable of priority boarding. Especially on weekends and sightseeing seasons, it is safe to visit with plenty of time.",1/8/2026,translated_argos,,0.9705,crowding
